Word,RawWSA,WSA
FYKES,1043.8,0.756
OUSIA,780.3,0.558
NEVUS,786.2,0.563
WINGS,1087.5,0.789
TOILE,154.3,0.088
JUNTA,369.1,0.249
CHAIR,163.2,0.094
REGIA,200.2,0.122
LAVVY,1121.4,0.815
FATTY,701.5,0.499
BIPPY,1279.6,0.933
HOODY,1220.6,0.889
BUNCO,520.7,0.363
ZUPAN,945.9,0.683
SPEND,685.9,0.487
PHUBS,1230.0,0.896
SLUSE,359.7,0.242
DWINE,467.4,0.323
PIETY,469.2,0.324
PYRUS,499.2,0.347
MOGUE,576.3,0.405
GLOWS,1205.5,0.878
KUTCH,354.1,0.238
NGANA,722.1,0.514
PITON,434.9,0.299
SPALT,472.2,0.327
QIPAO,924.4,0.666
PAKKA,1236.7,0.901
REDLY,367.4,0.248
FURZY,557.6,0.391
ARHAT,133.1,0.072
FUMER,600.3,0.423
ADDIN,798.4,0.572
CARDY,321.3,0.213
ZOOEA,407.5,0.278
CLEGS,433.2,0.297
DHALS,440.8,0.303
DESHI,745.2,0.532
MEANY,417.4,0.285
LENOS,832.8,0.598
CINES,406.8,0.277
SNEAP,483.2,0.335
BUSTI,470.3,0.325
BELTS,531.5,0.371
WEANS,382.6,0.259
GLOBE,620.8,0.438
DECAD,240.2,0.152
TINKS,450.3,0.31
BALLY,1116.4,0.811
YOKES,1097.1,0.796
ONSEN,994.1,0.719
LOVER,606.3,0.427
IDDAT,338.9,0.226
TERRY,338.0,0.226
POGEY,1123.3,0.816
PLANH,661.0,0.469
LOTTE,367.1,0.248
CLIES,285.2,0.186
FEMES,967.8,0.699
DEEDY,917.0,0.661
ACNES,122.6,0.064
RUBLI,289.0,0.189
LOLOS,1214.1,0.884
RAPES,373.9,0.253
MANSE,359.6,0.242
WIPED,875.0,0.629
SABHA,985.7,0.713
GAMER,464.0,0.32
AFEAR,247.4,0.158
ADRAW,456.7,0.315
OUTTA,450.5,0.31
SLAPS,636.5,0.45
TARKA,429.5,0.294
GOYLE,629.5,0.445
TOMIA,352.6,0.237
MISDO,1077.7,0.782
SAYEE,373.5,0.252
POPSY,1192.9,0.868
WATCH,502.2,0.349
RIPED,458.4,0.316
BATHS,681.0,0.484
TAILS,304.3,0.2
DINNA,792.9,0.568
CONIN,525.5,0.367
BUNYA,945.9,0.683
SKOOL,1135.6,0.825
KHORS,632.2,0.447
HULKS,1097.2,0.796
LACET,328.0,0.218
LAZES,515.2,0.359
SEAMS,375.8,0.254
SLYLY,1078.6,0.782
JOINS,902.5,0.65
DOATS,232.1,0.146
PROKE,444.0,0.305
KINGY,1151.9,0.837
RANNY,589.4,0.415
RAKER,437.2,0.3
SWOUN,900.5,0.649
GULAR,389.4,0.264
SEDUM,720.2,0.513
OPERA,271.4,0.176
PERNS,428.9,0.294
REDIA,179.1,0.106
TEKKE,324.8,0.216
APPEL,313.6,0.207
WAIST,296.6,0.195
BOLDS,1071.8,0.777
STEER,290.0,0.19
PODGY,1191.3,0.867
HUMFS,1251.2,0.912
STAGY,485.4,0.337
OPGAF,1084.2,0.787
SKEOS,973.3,0.703
SWERF,473.4,0.327
RHYTA,400.6,0.273
PIANS,349.5,0.234
ULANS,401.1,0.273
DIVER,513.6,0.358
PENNY,883.3,0.636
NANUA,916.0,0.66
ONLAP,847.4,0.609
LOYAL,968.2,0.699
BOHEA,407.5,0.278
LIRKS,419.3,0.287
SENTI,300.6,0.198
PLEON,895.7,0.645
DAMAN,928.0,0.669
SYNED,714.1,0.508
MOOLS,1222.2,0.89
BAKED,388.2,0.263
RUNGS,422.7,0.289
BRACE,309.7,0.204
MELBA,517.9,0.361
SOTTO,541.4,0.379
DEALT,136.7,0.074
BIKES,927.6,0.669
FECIT,160.1,0.092
FLYER,531.2,0.371
SIDHE,335.3,0.224
RENGS,448.0,0.308
ALKYD,796.1,0.57
VENEY,891.0,0.641
STRAG,388.5,0.264
APODE,209.4,0.129
AIGAS,773.9,0.553
TORTS,360.6,0.243
SOOTH,705.2,0.502
STEAN,351.6,0.236
ALGIN,652.7,0.462
GUMMY,1246.0,0.908
NDUJA,930.8,0.671
RATAN,363.4,0.245
DURUM,507.3,0.353
ACIES,81.4,0.033
UNIOS,907.6,0.654
PUNTS,509.1,0.354
FILOS,949.0,0.685
BLYPE,567.5,0.398
MOLAL,947.3,0.684
TIARA,123.7,0.065
RATAL,384.6,0.261
LOWEN,909.4,0.655
DAWTS,460.0,0.317
IDDUT,480.4,0.333
INDEW,750.7,0.536
SURFS,367.2,0.248
BRIMS,506.9,0.353
ABACI,182.2,0.109
TROKE,259.7,0.167
MIMED,875.0,0.629
ROSHA,381.1,0.258
ELATE,304.0,0.2
TILAK,368.4,0.249
CYCAS,635.0,0.449
ORNIS,361.9,0.244
JIVES,927.6,0.669
MERCY,435.6,0.299
DIMES,815.0,0.584
CRIES,292.4,0.191
AFFIX,903.3,0.651
OUGHT,530.1,0.37
ANSAS,744.0,0.531
BESTI,434.3,0.298
ROMER,643.5,0.455
GISMS,1215.2,0.885
WHICH,553.9,0.388
LOGON,1086.1,0.788
WEELS,882.5,0.635
LEFTS,531.1,0.371
GROVE,444.0,0.305
HUNKY,1118.3,0.812
PETER,355.0,0.238
SOREX,492.1,0.342
ONELY,917.5,0.661
HINNY,1121.5,0.815
FOLIE,407.1,0.278
BROSE,331.6,0.221
GADJO,985.9,0.713
WASTE,296.3,0.194
CLASH,325.4,0.216
BALOI,753.0,0.538
FIATS,162.2,0.094
LAIGH,771.6,0.552
SILLS,977.8,0.707
HOCUS,617.8,0.436
PENSY,707.0,0.503
OULKS,1042.2,0.755
DRUID,406.3,0.277
TIDDY,502.0,0.349
FILAR,370.4,0.25
OXMEN,1020.3,0.739
SPUME,383.8,0.26
BARMS,614.1,0.433
HERBY,611.0,0.431
SPAZZ,658.9,0.467
SNITS,382.2,0.259
SINGS,897.6,0.646
TURDS,197.7,0.12
STIVE,259.5,0.167
SESEY,841.3,0.604
REIKS,492.6,0.342
BOTEW,644.2,0.456
MACAS,646.5,0.458
CLOAK,423.4,0.29
LOCUM,463.5,0.32
PARDS,405.3,0.276
FOVEA,407.5,0.278
GROTS,305.5,0.201
YEESH,810.0,0.581
WALER,414.0,0.283
NUDDY,1060.7,0.769
WUDUS,1193.6,0.869
BEARE,328.6,0.219
CAVED,221.0,0.138
UNSAY,824.4,0.591
TECUM,284.7,0.186
MYTHI,674.8,0.479
LUCES,382.7,0.259
RONNE,393.3,0.267
GELDS,776.9,0.556
FIERI,604.9,0.426
HYENA,581.4,0.409
DUNNO,1027.1,0.744
SCULP,397.2,0.27
BROCK,478.7,0.331
NITTO,387.6,0.263
GEEKS,974.0,0.704
TIRRS,283.8,0.185
DORES,442.3,0.304
ERING,500.4,0.348
LIMPA,856.9,0.616
METIC,177.3,0.105
ABERS,170.5,0.1
BEGUN,829.4,0.595
GIMPY,1279.6,0.933
POSCA,415.8,0.284
STOLN,576.9,0.405
TUPLE,248.7,0.159
RAMUS,342.8,0.229
MAHEM,597.0,0.42
EXPOS,1103.3,0.801
HENCE,394.6,0.268
ANTED,104.5,0.05
FUBSY,1076.0,0.78
QUIBS,1042.3,0.755
CHIMO,454.7,0.313
FERNS,428.9,0.294
FOSSE,547.6,0.383
SCOWL,535.3,0.374
AVERS,170.5,0.1
HURRY,531.0,0.371
GYRED,526.1,0.367
MESEM,967.8,0.699
GRAND,263.4,0.17
FAUTS,448.0,0.308
ADAPT,176.9,0.105
TAPUS,437.3,0.3
RUACH,169.7,0.099
JEUNE,465.0,0.321
GLUME,482.7,0.334
FIQHS,1215.2,0.885
HUNDO,1057.5,0.767
COUGH,597.8,0.421
SEISM,689.4,0.49
NINJA,873.0,0.628
CROSS,425.1,0.291
SUETE,189.4,0.114
LOTAS,468.2,0.324
BONDS,1098.1,0.797
JUGUM,1246.0,0.908
BRAYS,420.5,0.288
OLDLY,1019.1,0.738
BANGS,1028.3,0.745
GUNGE,567.2,0.398
DENSE,275.9,0.179
IMIDO,1064.1,0.771
ELOPS,997.9,0.722
GUNDI,1014.5,0.734
ROLLS,435.3,0.299
TAYRA,422.1,0.289
NABBY,1136.8,0.826
HYPHA,1278.1,0.932
RIBAS,348.7,0.234
TARZY,429.5,0.294
WAZOO,995.5,0.72
STYES,553.9,0.388
RAYAS,563.6,0.395
MAYST,509.5,0.355
SKIER,442.5,0.304
SLUMP,993.8,0.719
RILES,400.4,0.273
MUDAR,508.1,0.354
POWAN,984.3,0.712
SEIRS,401.0,0.273
RARES,368.0,0.248
FANAL,1021.5,0.739
ABURA,452.9,0.312
YABBA,1236.7,0.901
AGUTI,321.7,0.213
HEATY,352.5,0.237
PIRLS,419.3,0.287
TONED,373.6,0.252
UNITS,299.6,0.197
NIVAL,757.0,0.541
POWNY,1204.8,0.877
RYBAT,414.3,0.283
POULT,517.5,0.361
RAWKS,563.6,0.395
MEUMS,889.2,0.64
SOBER,529.7,0.37
BOERS,609.9,0.43
GHAST,348.8,0.234
GRAPY,481.6,0.334
MOTON,630.4,0.446
ACKER,133.2,0.072
ROHES,555.5,0.389
PILCH,464.3,0.321
SNARF,396.4,0.27
WEXES,967.8,0.699
ASPIC,269.7,0.174
TASSA,529.5,0.37
HIOIS,1091.8,0.792
CLOYS,590.4,0.415
RATIO,138.5,0.076
SIPED,688.5,0.489
AMICE,91.4,0.04
PATIA,379.4,0.257
GAWKY,1236.7,0.901
CRAWS,353.5,0.237
BUNAS,812.9,0.583
KUZUS,1251.2,0.912
DETAG,212.0,0.131
TEAED,136.9,0.075
ORPED,426.8,0.292
SMERK,473.4,0.327
GYRON,624.8,0.441
HASKS,1128.2,0.82
NETTS,447.5,0.308
NIFFS,1087.5,0.789
HOPED,981.0,0.709
BOKOS,1368.1,1.0
RISEN,430.1,0.295
ZANZE,424.8,0.291
GRIPY,545.3,0.382
HECHT,355.4,0.239
DUPLE,462.3,0.319
CRATE,275.9,0.179
MAHRS,598.5,0.422
COLAS,350.2,0.235
SOLAR,323.6,0.215
EDEMA,420.9,0.288
TULSI,333.0,0.222
COUCH,550.4,0.385
HASTA,668.8,0.474
EQUES,959.0,0.692
DOPER,574.9,0.404
LOKES,1009.0,0.73
FLOUT,514.3,0.358
FRIZE,389.2,0.264
THEWY,576.0,0.405
TZARS,338.3,0.226
BLOWS,1205.5,0.878
SCRIP,131.6,0.071
ARCED,101.2,0.048
SIXTY,552.3,0.387
IZARS,192.6,0.116
BIOME,531.2,0.371
KIKES,927.6,0.669
VERST,234.3,0.148
