bigram,raw_count,log_rarity_score
TS,29972404314,0.13972519135305073
TT,19222971337,0.18100048819730175
TU,15817162046,0.199122138153076
TV,1368545035,0.4265457302226521
TW,8118316093,0.26110163085925897
TX,384005616,0.5446411101169283
TY,15214168398,0.20273404799787909
TZ,399047698,0.5410705205179311
UA,8227068864,0.25986505297264073
UB,6765681016,0.2780384112480291
UC,10702575520,0.23542029050283209
UD,6346747965,0.283978312156542
UE,8457625777,0.25729668396844485
UF,1416534510,0.42334299326831615
UG,5736801207,0.29336768462277496
UH,524903236,0.5155962838639003
UI,6967198562,0.27531098938121523
UJ,145269456,0.6349719443178948
UK,1372734372,0.42626170152612286
UL,15752059735,0.19950540657099702
UM,10007053570,0.2416644181309041
UN,22987447404,0.16438128589605205
UO,911010799,0.4643620744526634
UP,9388602522,0.2475925518893164
UQ,59614067,0.7177415219403491
UR,35957660877,0.12280651058687486
US,30677125454,0.13756556162491462
UT,22499209523,0.16637624511069482
UU,170247936,0.6202277054444314
UV,409837804,0.5385911906664815
UW,731912653,0.48470310251582194
UX,605592840,0.50230834739185
UY,1633379480,0.41010674064154296
UZ,294900207,0.5691755971180186
VA,10061548421,0.2411597460193634
VB,159300324,0.6264040298011284
VC,267332451,0.5782957819942451
VD,948786360,0.46058657017419957
VE,42386634729,0.10752093275108943
VF,70032606,0.7027738991301182
VG,159448024,0.6263179101086815
VH,136916226,0.640475156440426
VI,23140348141,0.1637652324966583
VJ,15424672,0.8433711053374785
VK,21599286,0.8120834796966199
VL,138973795,0.6390890507261543
VM,127476300,0.6471137174131174
VN,116774291,0.6552622184914331
VO,3540351272,0.33822109178241366
VP,160573271,0.6256644175274109
VQ,8637649,0.8972534429411876
VR,217059171,0.5976545254545942
VS,517563727,0.5169048081004556
VT,189305399,0.6103676617514068
VU,191219786,0.6094326439451236
VV,69205951,0.7038773163789647
VW,116491832,0.6554872658104964
VX,47815439,0.7382358245704981
VY,224764337,0.5944130174302447
VZ,7573361,0.9094726792037464
WA,16616645822,0.19453998513789383
WB,541505398,0.5127026340405897
WC,739335953,0.4837653580241268
WD,598852489,0.5033484348110487
WE,18727322433,0.18342795663822775
WF,511762732,0.5179522352841304
WG,230184684,0.5921986239565376
WH,12042164275,0.22446148224538243
WI,21486195066,0.17065732905994946
WJ,266620064,0.57854374306003
WK,162689468,0.6244477370586368
WL,994356456,0.4562271899649749
WM,715128430,0.48685890885935756
WN,4496647198,0.31600178272160484
WO,11770868120,0.22657895395067962
WP,812895043,0.4749513121530097
WQ,27284705,0.7903696985724007
WR,2042709489,0.3893259498973607
WS,6152300106,0.2868698651504771
WT,1807415715,0.4006982162084086
WU,285828898,0.5720789617522932
WV,149685312,0.6321892735959849
WW,1962296312,0.3930580418012294
WX,114261838,0.6572833987742586
WY,893249955,0.46619164101461863
WZ,101939100,0.6678879055944973
XA,1718498310,0.40538610218921234
XB,306237503,0.5656700411928235
XC,1625728079,0.4105430685141387
XD,209666964,0.6008743945264687
XE,1553965388,0.41473831134671824
XF,339528185,0.5560803904474855
XG,135146866,0.6416838677462233
XH,319250039,0.5618030263996092
XI,1830392546,0.39952433002991605
XJ,30189609,0.780968178392565
XK,38953406,0.7572841316165764
XL,214535838,0.5987411336821782
XM,500340477,0.520049800039267
XN,135354237,0.6415413893714319
XO,460487734,0.5277629468459563
XP,3378298285,0.34257505780800324
XQ,20714339,0.815970978143342
XR,211474506,0.6000767067401492
XS,408373665,0.538923763750562
XT,3628673601,0.33593126680378493
XU,407474891,0.5391285076710797
XV,153643160,0.6297641131942843
XW,154494871,0.6292504032822985
XX,554737300,0.5104592349338144
XY,372725127,0.5474118043982082
XZ,23383121,0.8047093686166736
YA,6723589408,0.27861834495893845
YB,2791607728,0.36030121308565943
YC,4065809966,0.32536126061232606
YD,2357064378,0.37602445692856856
YE,7000720946,0.2748649492901484
YF,2308211635,0.37797070132067656
YG,1197449390,0.43895647941358296
YH,1678109748,0.407596158370631
YI,4088737647,0.3248387064742896
YJ,546404776,0.5118656431452279
YK,377466618,0.5462371277898692
YL,2798711484,0.36006504481395607
YM,3629941896,0.33589879275923307
YN,2367224599,0.3756247540662764
YO,20264440566,0.17609752769653808
YP,4770576225,0.3105065657640982
YQ,136052248,0.6410634058883029
YR,3213028237,0.34723609162846114
YS,10570642040,0.2365729400754608
YT,6272652335,0.2850695734671883
YU,849379055,0.4708715054010545
YV,566509018,0.5085079321437157
YW,2650158989,0.3651332126585384
YX,74171966,0.6974375605677351
YY,396710835,0.5416163073890574
YZ,202799496,0.6039690907704827
ZA,1550549207,0.4149428226098789
ZB,82447517,0.6876081906863933
ZC,99863167,0.6697998378354596
ZD,101168986,0.6685925982919675
ZE,3038306939,0.3524319352989336
ZF,45439062,0.7429728907244675
ZG,40237172,0.7542709848703758
ZH,99349469,0.6702790875248701
ZI,1424549625,0.42281867293038544
ZJ,31370967,0.7774011871186383
ZK,37189199,0.7615910775622418
ZL,155799204,0.6284691579356063
ZM,84167126,0.6856899555241752
ZN,59963870,0.7171978416440099
ZO,1226090518,0.43675998526409865
ZP,60233607,0.7167807650846468
ZQ,6170496,0.9285094024308125
ZR,95348467,0.674098868400753
ZS,123498745,0.6500594403969933
ZT,75009362,0.6963943046475123
ZU,296673637,0.5686184418056619
ZV,25612956,0.7962452566888972
ZW,54956316,0.7253013725993598
ZX,16061325,0.8396126066738548
ZY,202018221,0.6043277771144828
ZZ,406963963,0.5392451003187073
